date,p,T,Tpot,Tdew,VPmax,VPact,VPdef
1/1/2020 4:20,1007.84,-1.08,271.47,-2.25,5.64,5.17,0.47
1/1/2020 4:30,1007.85,-1.59,270.96,-2.93,5.43,4.92,0.52
1/1/2020 4:40,1008.02,-1.82,270.72,-2.92,5.34,4.92,0.42
1/1/2020 4:50,1007.92,-1.84,270.71,-2.9,5.33,4.93,0.41
1/1/2020 5:00,1007.63,-1.84,270.73,-2.78,5.34,4.97,0.36
1/1/2020 5:10,1007.63,-2.14,270.44,-3.21,5.22,4.82,0.4
1/1/2020 5:20,1007.9,-2.34,270.21,-3.26,5.14,4.8,0.34
1/1/2020 5:30,1007.99,-2.2,270.35,-3.05,5.2,4.87,0.32
1/1/2020 5:40,1007.85,-2.3,270.25,-3.18,5.15,4.83,0.32
1/1/2020 5:50,1007.81,-2.4,270.16,-3.21,5.12,4.82,0.3
1/1/2020 6:00,1007.81,-2.51,270.05,-3.34,5.08,4.77,0.3
1/1/2020 6:10,1007.91,-2.83,269.72,-3.64,4.96,4.66,0.29
1/1/2020 6:20,1008.06,-2.79,269.75,-3.53,4.97,4.7,0.27
1/1/2020 6:30,1008.22,-2.74,269.79,-3.45,4.99,4.73,0.26
1/1/2020 6:40,1008.19,-2.63,269.9,-3.31,5.03,4.78,0.25
1/1/2020 6:50,1008.21,-2.5,270.02,-3.19,5.08,4.82,0.25
1/1/2020 7:00,1008.17,-2.26,270.27,-2.94,5.17,4.91,0.26
1/1/2020 7:10,1008.16,-2.31,270.23,-3.09,5.15,4.86,0.29
1/1/2020 7:20,1008.17,-2.53,270,-3.39,5.07,4.75,0.31
1/1/2020 7:30,1008.13,-2.68,269.86,-3.49,5.01,4.72,0.3
1/1/2020 7:40,1008.25,-2.73,269.79,-3.53,4.99,4.7,0.29
1/1/2020 7:50,1008.17,-2.79,269.74,-3.57,4.97,4.69,0.28
1/1/2020 8:00,1008.16,-2.84,269.69,-3.6,4.95,4.68,0.27
1/1/2020 8:10,1008.12,-2.89,269.64,-3.65,4.93,4.66,0.27
1/1/2020 8:20,1008.12,-3.02,269.51,-3.79,4.89,4.61,0.27
1/1/2020 8:30,1008.12,-2.84,269.7,-3.56,4.95,4.69,0.26
1/1/2020 8:40,1008.04,-2.91,269.63,-3.75,4.93,4.63,0.3
1/1/2020 8:50,1007.96,-3.11,269.44,-3.99,4.85,4.54,0.31
1/1/2020 9:00,1008.07,-3.08,269.46,-3.9,4.86,4.57,0.29
1/1/2020 9:10,1008.17,-3.03,269.5,-3.89,4.88,4.58,0.3
1/1/2020 9:20,1008.28,-2.95,269.58,-3.86,4.91,4.59,0.32
1/1/2020 9:30,1008.2,-3.01,269.52,-3.99,4.89,4.54,0.35
1/1/2020 9:40,1008.31,-2.84,269.69,-3.89,4.95,4.58,0.38
1/1/2020 9:50,1008.41,-2.67,269.84,-3.71,5.02,4.64,0.38
1/1/2020 10:00,1008.45,-1.93,270.58,-3.18,5.3,4.83,0.47
1/1/2020 10:10,1008.5,-1.53,270.98,-3.33,5.46,4.77,0.69
1/1/2020 10:20,1008.46,-1.25,271.25,-3.27,5.57,4.8,0.77
1/1/2020 10:30,1008.49,-1.24,271.26,-3.25,5.58,4.8,0.78
1/1/2020 10:40,1008.37,-1.32,271.19,-3.29,5.54,4.79,0.75
1/1/2020 10:50,1008.36,-1.03,271.49,-3.07,5.67,4.87,0.8
1/1/2020 11:00,1008.34,-1.14,271.37,-3.08,5.62,4.86,0.75
1/1/2020 11:10,1008.21,-0.83,271.7,-2.89,5.75,4.93,0.82
1/1/2020 11:20,1008.02,-0.65,271.89,-2.77,5.82,4.98,0.84
1/1/2020 11:30,1008.03,-0.43,272.11,-2.63,5.92,5.03,0.89
1/1/2020 11:40,1007.84,-0.4,272.16,-2.63,5.93,5.03,0.9
1/1/2020 11:50,1007.69,-0.06,272.5,-2.41,6.08,5.11,0.97
1/1/2020 12:00,1007.62,0.68,273.24,-2.03,6.42,5.26,1.15
1/1/2020 12:10,1007.59,0.93,273.5,-2.03,6.53,5.26,1.27
1/1/2020 12:20,1007.56,1.23,273.8,-1.8,6.68,5.35,1.33
1/1/2020 12:30,1007.44,1.7,274.27,-1.66,6.91,5.41,1.5
1/1/2020 12:40,1007.29,1.98,274.57,-1.52,7.05,5.46,1.59
1/1/2020 12:50,1007.12,2.62,275.22,-1.29,7.38,5.56,1.82
1/1/2020 13:00,1007.04,2.83,275.44,-1.29,7.49,5.56,1.93
1/1/2020 13:10,1006.98,2.87,275.48,-1.26,7.51,5.57,1.95
1/1/2020 13:20,1006.83,3.09,275.71,-1.13,7.63,5.62,2.01
1/1/2020 13:30,1006.79,3.86,276.48,-0.91,8.06,5.71,2.34
1/1/2020 13:40,1006.69,3.84,276.48,-0.97,8.05,5.69,2.36
1/1/2020 13:50,1006.6,4.03,276.67,-0.92,8.15,5.71,2.45
1/1/2020 14:00,1006.41,3.7,276.35,-1.09,7.97,5.64,2.33
1/1/2020 14:10,1006.3,3.45,276.11,-1.06,7.83,5.65,2.18
1/1/2020 14:20,1006.26,3.64,276.3,-1.03,7.93,5.66,2.27
1/1/2020 14:30,1006.19,3.89,276.56,-1,8.08,5.68,2.4
1/1/2020 14:40,1006.06,3.87,276.55,-1,8.06,5.68,2.39
1/1/2020 14:50,1006.01,4.32,277.01,-0.83,8.32,5.75,2.58
1/1/2020 15:00,1006.01,4.58,277.27,-0.75,8.48,5.78,2.7
1/1/2020 15:10,1006.03,4.2,276.89,-0.86,8.25,5.73,2.52
1/1/2020 15:20,1006.02,4.07,276.76,-0.82,8.18,5.75,2.43
1/1/2020 15:30,1006.02,4.44,277.13,-0.69,8.39,5.81,2.59
1/1/2020 15:40,1005.99,4.5,277.19,-0.73,8.43,5.79,2.64
1/1/2020 15:50,1005.87,4.34,277.04,-0.91,8.34,5.71,2.62
1/1/2020 16:00,1005.83,3.74,276.44,-1.13,7.99,5.62,2.36
1/1/2020 16:10,1005.78,3.23,275.93,-1.22,7.7,5.59,2.12
1/1/2020 16:20,1005.71,2.99,275.7,-1.28,7.57,5.56,2.01
1/1/2020 16:30,1005.71,2.89,275.6,-1.32,7.52,5.54,1.98
1/1/2020 16:40,1005.76,2.77,275.48,-1.38,7.46,5.52,1.94
1/1/2020 16:50,1005.88,2.6,275.3,-1.42,7.37,5.5,1.86
1/1/2020 17:00,1005.96,2.09,274.79,-1.57,7.11,5.44,1.66
1/1/2020 17:10,1005.96,1.63,274.33,-1.62,6.88,5.42,1.45
1/1/2020 17:20,1006.03,1.26,273.95,-1.91,6.69,5.31,1.38
1/1/2020 17:30,1006,1.03,273.72,-2.08,6.58,5.24,1.34
1/1/2020 17:40,1005.96,0.99,273.68,-1.84,6.56,5.33,1.23
1/1/2020 17:50,1005.93,0.85,273.55,-1.93,6.5,5.3,1.2
1/1/2020 18:00,1005.85,0.63,273.34,-2.09,6.4,5.24,1.16
1/1/2020 18:10,1005.81,0.35,273.06,-2.38,6.27,5.13,1.14
1/1/2020 18:20,1005.83,0.05,272.75,-2.32,6.13,5.15,0.98
1/1/2020 18:30,1005.78,-0.08,272.63,-2.21,6.07,5.19,0.88
1/1/2020 18:40,1005.71,-0.21,272.5,-2.37,6.01,5.13,0.88
1/1/2020 18:50,1005.7,-0.62,272.1,-2.69,5.84,5.01,0.83
1/1/2020 19:00,1005.68,-1.32,271.4,-3.36,5.55,4.76,0.78
1/1/2020 19:10,1005.71,-1.42,271.3,-2.98,5.51,4.9,0.61
1/1/2020 19:20,1005.69,-1.31,271.41,-2.72,5.55,5,0.55
1/1/2020 19:30,1005.61,-1.33,271.4,-2.8,5.54,4.97,0.58
1/1/2020 19:40,1005.49,-1.38,271.36,-2.82,5.52,4.96,0.56
1/1/2020 19:50,1005.57,-1.36,271.37,-2.91,5.53,4.93,0.6
1/1/2020 20:00,1005.53,-1.48,271.26,-2.94,5.48,4.92,0.56
1/1/2020 20:10,1005.46,-1.86,270.88,-3.37,5.33,4.76,0.57
1/1/2020 20:20,1005.39,-2.15,270.59,-3.47,5.21,4.72,0.49
1/1/2020 20:30,1005.34,-2.18,270.57,-3.3,5.2,4.79,0.42
1/1/2020 20:40,1005.32,-2.24,270.51,-3.32,5.18,4.78,0.4
1/1/2020 20:50,1005.26,-2.57,270.19,-3.64,5.05,4.67,0.39
1/1/2020 21:00,1005.21,-2.78,269.98,-3.78,4.97,4.62,0.36
1/1/2020 21:10,1005.12,-2.85,269.92,-3.7,4.95,4.64,0.31
1/1/2020 21:20,1005.07,-2.95,269.82,-3.81,4.91,4.6,0.31
1/1/2020 21:30,1005.01,-3.21,269.56,-4.05,4.82,4.52,0.29
1/1/2020 21:40,1004.96,-3.06,269.71,-3.79,4.87,4.61,0.26
1/1/2020 21:50,1004.84,-3,269.78,-3.78,4.89,4.61,0.28
1/1/2020 22:00,1004.76,-3.21,269.58,-4.03,4.82,4.53,0.29
1/1/2020 22:10,1004.64,-3.27,269.53,-4.05,4.8,4.52,0.27
1/1/2020 22:20,1004.61,-3.31,269.49,-4.08,4.78,4.51,0.27
1/1/2020 22:30,1004.54,-3.39,269.42,-4.11,4.75,4.5,0.25
1/1/2020 22:40,1004.51,-3.35,269.47,-4.05,4.77,4.52,0.25
1/1/2020 22:50,1004.62,-3.29,269.51,-3.99,4.79,4.54,0.24
1/1/2020 23:00,1004.56,-3.19,269.62,-3.94,4.83,4.56,0.27
1/1/2020 23:10,1004.45,-3.2,269.62,-3.99,4.82,4.54,0.28
1/1/2020 23:20,1004.35,-3.32,269.5,-4.23,4.78,4.46,0.32
1/1/2020 23:30,1004.28,-3.09,269.74,-4.03,4.86,4.53,0.33
1/1/2020 23:40,1004.29,-2.96,269.87,-4.3,4.91,4.44,0.47
1/1/2020 23:50,1004.26,-3.46,269.38,-4.89,4.73,4.24,0.49
1/2/2020 0:00,1004.16,-3.39,269.45,-4.58,4.75,4.34,0.41
1/2/2020 0:10,1004.13,-3.47,269.37,-4.68,4.72,4.31,0.41
1/2/2020 0:20,1004.13,-3.94,268.9,-5.16,4.56,4.16,0.4
1/2/2020 0:30,1004.11,-3.91,268.94,-5.11,4.57,4.17,0.4
1/2/2020 0:40,1004.09,-3.86,268.98,-4.96,4.59,4.22,0.37
1/2/2020 0:50,1004,-3.88,268.97,-5.17,4.58,4.16,0.43
1/2/2020 1:00,1003.96,-4.23,268.62,-5.6,4.46,4.02,0.44
1/2/2020 1:10,1003.86,-4.42,268.44,-5.65,4.4,4,0.39
1/2/2020 1:20,1003.9,-4.42,268.44,-5.43,4.4,4.07,0.33
1/2/2020 1:30,1003.76,-4.5,268.37,-5.47,4.37,4.06,0.31
1/2/2020 1:40,1003.75,-4.31,268.56,-5.14,4.43,4.16,0.27
1/2/2020 1:50,1003.72,-4.25,268.62,-5.25,4.45,4.13,0.33
1/2/2020 2:00,1003.76,-4.2,268.67,-5.14,4.47,4.16,0.31
1/2/2020 2:10,1003.73,-3.98,268.9,-4.92,4.55,4.23,0.31
1/2/2020 2:20,1003.67,-4.07,268.81,-5.28,4.52,4.12,0.4
1/2/2020 2:30,1003.51,-4.56,268.33,-6.13,4.35,3.86,0.49
1/2/2020 2:40,1003.51,-4.78,268.11,-6.2,4.28,3.84,0.44
1/2/2020 2:50,1003.49,-4.85,268.04,-5.94,4.26,3.92,0.34
1/2/2020 3:00,1003.38,-4.86,268.04,-5.88,4.25,3.93,0.32
1/2/2020 3:10,1003.27,-4.88,268.03,-5.9,4.25,3.93,0.32
1/2/2020 3:20,1003.17,-4.91,268.01,-6.04,4.24,3.89,0.35
1/2/2020 3:30,1003.12,-4.81,268.12,-6.14,4.27,3.86,0.41
1/2/2020 3:40,1003.07,-5.03,267.89,-6.25,4.2,3.82,0.37
1/2/2020 3:50,1003.08,-5.12,267.81,-6.25,4.17,3.82,0.35
1/2/2020 4:00,1003.12,-4.72,268.2,-5.78,4.3,3.96,0.34
1/2/2020 4:10,1003.22,-4.45,268.47,-5.76,4.39,3.97,0.42
1/2/2020 4:20,1003.37,-4.54,268.36,-5.98,4.36,3.9,0.45
1/2/2020 4:30,1003.32,-5.02,267.89,-6.48,4.2,3.76,0.45
1/2/2020 4:40,1003.15,-5.39,267.53,-6.63,4.08,3.71,0.37
1/2/2020 4:50,1002.99,-5.48,267.46,-6.72,4.06,3.69,0.37
1/2/2020 5:00,1002.82,-5.43,267.52,-6.81,4.07,3.66,0.41
1/2/2020 5:10,1002.67,-4.96,268,-6.46,4.22,3.76,0.46
1/2/2020 5:20,1002.65,-4.87,268.09,-6.92,4.25,3.63,0.62
1/2/2020 5:30,1002.67,-5.22,267.73,-6.84,4.14,3.65,0.48
1/2/2020 5:40,1002.62,-5.43,267.53,-6.83,4.07,3.66,0.42
1/2/2020 5:50,1002.55,-5.53,267.44,-6.89,4.04,3.64,0.4
1/2/2020 6:00,1002.53,-5.45,267.52,-6.63,4.07,3.71,0.35
1/2/2020 6:10,1002.51,-5.58,267.39,-6.84,4.03,3.65,0.37
1/2/2020 6:20,1002.53,-5.78,267.19,-7.03,3.97,3.6,0.36
1/2/2020 6:30,1002.53,-5.69,267.28,-6.91,3.99,3.63,0.36
1/2/2020 6:40,1002.52,-5.44,267.53,-6.76,4.07,3.67,0.39
1/2/2020 6:50,1002.44,-5.46,267.52,-7.04,4.06,3.6,0.47
1/2/2020 7:00,1002.41,-5.47,267.51,-6.88,4.06,3.64,0.42
1/2/2020 7:10,1002.37,-5.05,267.93,-6.67,4.19,3.7,0.49
1/2/2020 7:20,1002.4,-4.94,268.04,-6.69,4.23,3.69,0.53
1/2/2020 7:30,1002.4,-4.8,268.18,-6.69,4.27,3.7,0.58
1/2/2020 7:40,1002.36,-4.91,268.07,-6.78,4.24,3.67,0.57
1/2/2020 7:50,1002.35,-5.12,267.86,-6.88,4.17,3.64,0.53
1/2/2020 8:00,1002.38,-5.13,267.84,-6.97,4.17,3.62,0.55
1/2/2020 8:10,1002.36,-5.58,267.4,-7.29,4.03,3.53,0.5
1/2/2020 8:20,1002.35,-5.66,267.32,-7,4,3.61,0.39
1/2/2020 8:30,1002.27,-5.44,267.55,-6.75,4.07,3.68,0.39
1/2/2020 8:40,1002.18,-4.73,268.26,-6.47,4.3,3.76,0.54
1/2/2020 8:50,1002.21,-4.44,268.55,-6.65,4.39,3.71,0.69
1/2/2020 9:00,1002.19,-4.39,268.6,-6.71,4.41,3.69,0.72
1/2/2020 9:10,1002.25,-4.71,268.28,-6.98,4.3,3.61,0.69
1/2/2020 9:20,1002.19,-4.68,268.31,-6.62,4.31,3.72,0.6
1/2/2020 9:30,1002.05,-4.13,268.87,-6.58,4.5,3.73,0.77
1/2/2020 9:40,1002.01,-4.07,268.93,-6.54,4.51,3.74,0.78
1/2/2020 9:50,1002,-4.04,268.97,-6.51,4.53,3.75,0.78
1/2/2020 10:00,1001.81,-4.16,268.86,-6.5,4.49,3.75,0.74
1/2/2020 10:10,1001.66,-3.81,269.23,-6.11,4.61,3.86,0.74
1/2/2020 10:20,1001.66,-3.53,269.51,-5.88,4.7,3.93,0.77
1/2/2020 10:30,1001.57,-3.02,270.02,-5.74,4.89,3.98,0.91
1/2/2020 10:40,1001.52,-2.78,270.26,-5.7,4.98,3.99,0.99
1/2/2020 10:50,1001.42,-1.87,271.18,-5.34,5.32,4.1,1.22
1/2/2020 11:00,1001.32,-1.24,271.81,-5.31,5.58,4.11,1.47
1/2/2020 11:10,1001.39,-0.91,272.14,-5.17,5.71,4.15,1.56
1/2/2020 11:20,1001.38,-0.56,272.49,-5.07,5.86,4.19,1.68
1/2/2020 11:30,1001.18,-0.59,272.48,-5.1,5.85,4.18,1.67
1/2/2020 11:40,1001.01,-0.19,272.89,-4.93,6.02,4.23,1.8
1/2/2020 11:50,1000.87,0.48,273.57,-4.85,6.32,4.26,2.07
1/2/2020 12:00,1000.7,1.06,274.17,-4.72,6.6,4.3,2.3
1/2/2020 12:10,1000.49,1.8,274.92,-4.79,6.96,4.28,2.68
1/2/2020 12:20,1000.23,1.92,275.06,-4.63,7.02,4.33,2.69
1/2/2020 12:30,1000.03,2.72,275.88,-4.24,7.43,4.46,2.98
1/2/2020 12:40,999.8,3.47,276.65,-3.93,7.84,4.56,3.27
1/2/2020 12:50,999.66,4.37,277.56,-3.76,8.35,4.62,3.73
1/2/2020 13:00,999.58,4.98,278.17,-3.81,8.71,4.6,4.11
1/2/2020 13:10,999.46,5.58,278.78,-3.84,9.09,4.59,4.49
1/2/2020 13:20,999.3,5.73,278.94,-3.25,9.18,4.8,4.38
1/2/2020 13:30,999.16,6.06,279.29,-2.83,9.4,4.95,4.44
1/2/2020 13:40,999.06,6.47,279.7,-2.31,9.67,5.15,4.52
1/2/2020 13:50,998.98,6.47,279.72,-2.18,9.67,5.2,4.47
1/2/2020 14:00,998.88,6.22,279.47,-2.02,9.5,5.27,4.24
1/2/2020 14:10,998.9,5.88,279.13,-1.7,9.28,5.39,3.89
1/2/2020 14:20,998.87,5.71,278.96,-1.41,9.17,5.51,3.66
1/2/2020 14:30,998.81,5.91,279.17,-1.26,9.3,5.57,3.73
1/2/2020 14:40,998.71,5.7,278.97,-1.26,9.17,5.57,3.6
1/2/2020 14:50,998.69,5.41,278.68,-1.36,8.98,5.53,3.46
1/2/2020 15:00,998.65,5.66,278.92,-1.42,9.14,5.5,3.63
1/2/2020 15:10,998.66,5.77,279.04,-1.39,9.21,5.52,3.69
1/2/2020 15:20,998.66,5.61,278.87,-1.28,9.11,5.56,3.54
1/2/2020 15:30,998.75,5.47,278.73,-1.25,9.02,5.57,3.44
1/2/2020 15:40,998.82,5.49,278.74,-1.25,9.03,5.57,3.46
1/2/2020 15:50,998.94,4.96,278.21,-1.33,8.71,5.54,3.17
1/2/2020 16:00,998.97,4.28,277.52,-1.39,8.3,5.51,2.78
1/2/2020 16:10,999.12,3.69,276.92,-1.51,7.96,5.47,2.49
1/2/2020 16:20,999.13,3.36,276.59,-1.55,7.78,5.45,2.33
1/2/2020 16:30,999.28,3.25,276.47,-1.67,7.72,5.4,2.32
1/2/2020 16:40,999.39,3.18,276.39,-1.88,7.68,5.32,2.36
1/2/2020 16:50,999.44,3.06,276.26,-1.76,7.61,5.37,2.25
1/2/2020 17:00,999.45,2.88,276.08,-1.99,7.52,5.28,2.24
1/2/2020 17:10,999.51,2.61,275.81,-2.04,7.37,5.26,2.12
1/2/2020 17:20,999.52,2.32,275.52,-2.13,7.22,5.22,2
1/2/2020 17:30,999.59,1.91,275.1,-2.14,7.01,5.22,1.8
1/2/2020 17:40,999.56,1.42,274.62,-2.31,6.77,5.15,1.62
1/2/2020 17:50,999.58,1.41,274.6,-2.17,6.76,5.21,1.56
1/2/2020 18:00,999.58,1.41,274.6,-2.28,6.77,5.16,1.6
1/2/2020 18:10,999.68,1.12,274.3,-2.41,6.62,5.11,1.51
1/2/2020 18:20,999.67,1.16,274.35,-2.35,6.65,5.14,1.51
1/2/2020 18:30,999.71,0.91,274.09,-2.49,6.52,5.08,1.44
1/2/2020 18:40,999.83,0.62,273.79,-2.6,6.39,5.04,1.35
1/2/2020 18:50,999.98,0.15,273.32,-2.8,6.18,4.97,1.21
1/2/2020 19:00,999.99,-0.08,273.08,-2.82,6.07,4.96,1.11
1/2/2020 19:10,1000.07,-0.22,272.93,-2.83,6.01,4.96,1.05
1/2/2020 19:20,1000.11,-0.25,272.91,-2.86,6,4.94,1.06
1/2/2020 19:30,1000.05,-0.47,272.69,-2.99,5.9,4.9,1
1/2/2020 19:40,1000.04,-0.46,272.7,-2.93,5.91,4.92,0.99
1/2/2020 19:50,1000.14,-0.71,272.44,-3.03,5.8,4.88,0.92
1/2/2020 20:00,1000.08,-0.29,272.86,-2.67,5.98,5.02,0.96
1/2/2020 20:10,1000.15,-0.36,272.79,-2.78,5.95,4.98,0.98
1/2/2020 20:20,1000.06,-0.52,272.63,-2.88,5.88,4.94,0.94
1/2/2020 20:30,1000.02,-0.56,272.6,-2.85,5.86,4.95,0.91
1/2/2020 20:40,999.93,-0.53,272.63,-2.81,5.87,4.96,0.91
1/2/2020 20:50,999.81,-0.59,272.59,-2.83,5.85,4.96,0.9
1/2/2020 21:00,999.7,-0.49,272.7,-2.67,5.89,5.02,0.88
1/2/2020 21:10,999.58,-0.42,272.77,-2.6,5.92,5.04,0.88
1/2/2020 21:20,999.54,-0.19,273,-2.41,6.02,5.11,0.91
1/2/2020 21:30,999.54,-0.07,273.13,-2.34,6.08,5.14,0.94
1/2/2020 21:40,999.51,-0.01,273.18,-2.24,6.1,5.18,0.92
1/2/2020 21:50,999.34,0.06,273.27,-2.12,6.14,5.23,0.91
1/2/2020 22:00,999.17,0.09,273.31,-2.07,6.15,5.24,0.9
1/2/2020 22:10,999.05,0.33,273.57,-1.87,6.26,5.32,0.93
1/2/2020 22:20,998.96,0.47,273.71,-1.86,6.32,5.33,0.99
1/2/2020 22:30,998.84,0.35,273.6,-1.93,6.26,5.3,0.96
1/2/2020 22:40,998.69,0.22,273.48,-1.93,6.21,5.3,0.91
1/2/2020 22:50,998.56,0.26,273.54,-1.87,6.23,5.32,0.9
1/2/2020 23:00,998.56,0.25,273.52,-1.85,6.22,5.33,0.89
1/2/2020 23:10,998.55,0.46,273.74,-1.61,6.32,5.43,0.89
1/2/2020 23:20,998.66,0.74,274,-1.42,6.44,5.5,0.94
1/2/2020 23:30,998.68,0.79,274.05,-1.45,6.47,5.49,0.98
1/2/2020 23:40,998.59,0.72,273.99,-1.46,6.44,5.49,0.95
1/2/2020 23:50,998.53,0.75,274.03,-1.36,6.45,5.53,0.92
1/3/2020 0:00,998.45,0.88,274.16,-1.22,6.51,5.59,0.92
1/3/2020 0:10,998.39,0.93,274.21,-1.14,6.53,5.62,0.91
1/3/2020 0:20,998.25,0.88,274.17,-1.2,6.51,5.59,0.92
1/3/2020 0:30,998.07,0.69,274,-1.28,6.42,5.56,0.86
1/3/2020 0:40,997.99,0.74,274.06,-1.14,6.44,5.62,0.82
1/3/2020 0:50,998.01,0.92,274.24,-0.91,6.53,5.71,0.82
1/3/2020 1:00,997.93,1.42,274.74,-0.56,6.77,5.86,0.91
1/3/2020 1:10,997.77,1.67,275.01,-0.4,6.9,5.93,0.97
1/3/2020 1:20,997.67,1.9,275.24,-0.28,7.01,5.98,1.02
1/3/2020 1:30,997.57,1.99,275.34,-0.25,7.05,6,1.06
1/3/2020 1:40,997.41,2.01,275.38,-0.23,7.06,6,1.06
1/3/2020 1:50,997.26,2.08,275.45,-0.19,7.1,6.02,1.07
1/3/2020 2:00,997.14,1.96,275.34,-0.27,7.04,5.99,1.05
1/3/2020 2:10,997.01,1.78,275.17,-0.33,6.95,5.96,0.99
1/3/2020 2:20,997.04,1.63,275.03,-0.37,6.88,5.95,0.93
1/3/2020 2:30,996.96,1.54,274.94,-0.42,6.83,5.92,0.91
1/3/2020 2:40,996.86,1.57,274.98,-0.32,6.84,5.97,0.88
1/3/2020 2:50,996.71,1.74,275.16,-0.24,6.93,6,0.93
1/3/2020 3:00,996.73,1.92,275.34,-0.02,7.02,6.1,0.92
1/3/2020 3:10,996.59,2.38,275.8,0.19,7.25,6.19,1.06
1/3/2020 3:20,996.44,2.65,276.09,0.41,7.4,6.29,1.1
1/3/2020 3:30,996.37,2.95,276.4,0.57,7.55,6.37,1.19
1/3/2020 3:40,996.32,3.07,276.52,0.64,7.62,6.4,1.22
1/3/2020 3:50,996.26,3.25,276.7,0.76,7.71,6.46,1.26
1/3/2020 4:00,996.14,3.05,276.52,0.54,7.61,6.35,1.26
1/3/2020 4:10,996.12,2.87,276.33,0.54,7.51,6.35,1.16
1/3/2020 4:20,996.04,2.84,276.31,0.53,7.49,6.35,1.15
1/3/2020 4:30,995.89,2.9,276.39,0.66,7.53,6.41,1.12
1/3/2020 4:40,995.81,2.95,276.44,0.71,7.55,6.43,1.13
1/3/2020 4:50,995.67,3.14,276.64,0.88,7.65,6.51,1.14
1/3/2020 5:00,995.58,3.26,276.77,0.97,7.72,6.56,1.17
1/3/2020 5:10,995.53,3.27,276.79,0.99,7.73,6.56,1.17
1/3/2020 5:20,995.54,3.27,276.78,1,7.73,6.57,1.16
1/3/2020 5:30,995.5,3.11,276.63,0.76,7.64,6.46,1.18
1/3/2020 5:40,995.45,2.5,276.02,0.39,7.31,6.28,1.03
1/3/2020 5:50,995.42,2.32,275.84,0.39,7.22,6.28,0.94
1/3/2020 6:00,995.36,2.33,275.85,0.44,7.23,6.31,0.92
1/3/2020 6:10,995.35,2.44,275.96,0.54,7.28,6.35,0.93
1/3/2020 6:20,995.33,2.57,276.1,0.52,7.35,6.34,1.01
1/3/2020 6:30,995.27,2.62,276.16,0.48,7.38,6.33,1.06
1/3/2020 6:40,995.2,2.67,276.21,0.48,7.4,6.32,1.08
1/3/2020 6:50,995.19,2.65,276.19,0.49,7.39,6.33,1.06
1/3/2020 7:00,995.16,2.62,276.17,0.53,7.38,6.35,1.03
1/3/2020 7:10,995.13,2.66,276.21,0.56,7.4,6.36,1.04
1/3/2020 7:20,995.06,2.71,276.26,0.63,7.43,6.4,1.03
1/3/2020 7:30,995.01,2.8,276.35,0.63,7.47,6.4,1.08
1/3/2020 7:40,994.84,2.88,276.45,0.68,7.52,6.42,1.1
1/3/2020 7:50,994.68,3.09,276.67,0.74,7.63,6.44,1.18
1/3/2020 8:00,994.6,3.37,276.96,0.97,7.78,6.55,1.23
1/3/2020 8:10,994.69,3.79,277.37,1.15,8.02,6.64,1.38
1/3/2020 8:20,994.69,3.92,277.5,1.21,8.09,6.67,1.42
1/3/2020 8:30,994.63,3.93,277.52,1.15,8.1,6.64,1.46
1/3/2020 8:40,994.61,3.61,277.2,0.84,7.92,6.49,1.43
